Name,Parameters,Examples,Description,Notes,Version Added
define_ruler,name = <string>Optional. The name of the ruler.dynasty = <string> / <scope> / original_dynastyOptional. The dynasty of the ruler. Last name for republican leaders.age = <years>Optional. The age of the ruler.min_age = <int>Optional. The minimum age of the ruler.max_age = <int>Optional. The maximum age of the ruler.claim = <int>Optional. The starting legitimacy of the ruler.adm = <int>Optional. The minimum ADM skill roll for the ruler.dip = <int>Optional. The minimum DIP skill roll for the ruler.mil = <int>Optional. The minimum MIL skill roll for the ruler.fixed = yesOptional. Makes the ruler skill roll fixed to the defined minimums.max_random_adm = <int>Optional. The maximum ADM skill roll for the ruler.max_random_dip = <int>Optional. The maximum DIP skill roll for the ruler.max_random_mil = <int>Optional. The maximum MIL skill roll for the ruler.hide_skills = yesOptional. Hides the skill values for this ruler.regency = yesOptional. Makes this ruler as a regent.regency = { estate = estate_church }Optional. Defines an estate as regency.attach_leader = <string>Optional. The name of the leader to generate with the ruler.female = yesOptional. Forces the ruler to be female.male = yesOptional. Forces the ruler to be male.culture = <culture> / <scope>Optional. The culture of the ruler.religion = <religion> / <scope>Optional. The religion of the ruler.,"define_ruler = {
    name = ""Ntare I Kivimira""
    dynasty = ""Cambarantama""
    adm = 5
    dip = 4
    mil = 4
    age = 20
    claim = 95
}define_ruler = {
    culture = event_target:first_ruler_alternative_province
    hide_skills = yes
    age = 30
}define_ruler = {
    dynasty = ROOT
    culture = ROOT
    religion = ROOT
}define_ruler = {
    dip = 4
    adm = 1
    mil = 1					
    fixed = yes
}",Creates the defined ruler for the current scope.,"Thecultureandreligionattributes can utiliseEvent Scope Values.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
add_queen_personality,<personality>The consort personality to add.,add_queen_personality = righteous_personality,Adds the defined personality to the current consort.,Ruler personalities are found in/Europa Universalis IV/common/ruler_personalities/00_core.txt,1.18
remove_queen_personality,<personality>The consort personality to remove.,remove_queen_personality = righteous_personality,Removes the defined personality from the current consort.,Ruler personalities are found in/Europa Universalis IV/common/ruler_personalities/00_core.txt,1.18
set_consort_flag,<flag>A unique string to identify the consort flag with.,set_consort_flag = my_flagset_consort_flag = my_flag@ROOTset_consort_flag = my_flag@event_target:name,Defines a consort flag for the current scope's consort.,Flags can be appended with scopes or event targets,1.18
clr_consort_flag,<flag>The unique string of the flag to clear.,clr_consort_flag = my_flag,Clears a consort flag for the current scope's consort.,,1.18
set_consort_culture,<culture>The culture to change to.,set_consort_culture = englishset_consort_culture = CASset_consort_culture = event_target:my_event_targetset_consort_culture = variable:my_variable,Changes the consort culture for the current scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txtCan utiliseEvent Scope Values.,1.23
set_consort_religion,<religion>The religion to change to.,set_consort_religion = catholicset_consort_religion = CASset_consort_religion = event_target:my_event_targetset_consort_religion = variable:my_variable,Changes the consort religion for the current scope.,Religions are found in/Europa Universalis IV/common/religions/*.txtCan utiliseEvent Scope Values.,1.23
change_consort_regent_to_ruler,yesBoolean.,change_consort_regent_to_ruler = yes,Makes a consort regent into the current ruler for the current scope.,,1.18
remove_consort,yesBoolean.,remove_consort = yes,Removes the current consort for the current scope.,,1.18
define_consort,name = <string>Optional. The name of the consort.country_of_origin = <scope>Optional. The origin country of the consort.dynasty = <string> / <scope> / original_dynastyOptional. The dynasty of the consort.birth_date = <date>Optional. The birth date of the consort. Can be used instead of theageparameter.age = <years>Optional. The age of the consort.adm = <int>Optional. The ADM skill for the consort.dip = <int>Optional. The DIP skill for the consort.mil = <int>Optional. The MIL skill for the consort.hide_skills = yesOptional. Hides the skill values for this consort.female = yesOptional. Forces the consort to be female.male = yesOptional. Forces the consort to be male.culture = <culture> / <scope>Optional. The culture of the consort.religion = <religion> / <scope>Optional. The religion of the consort.,"define_consort = {
    country_of_origin = ROOT
    religion = ROOT
    culture = ROOT
}define_consort = {
    name = ""Kösem Sultan""
    culture = greek
    adm = 5
    dip = 4
    mil = 5
    female = yes
}",Creates the defined consort for the current scope.,"The skill values are not rolled for consorts, meaning the values set are the exact values a consort gets.Thecultureandreligionattributes can utiliseEvent Scope Values.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.18
exile_consort_as,<string>The unique string to identify the exiled ruler with.,exile_consort_as = my_exiled_consort,"Removes the current consort of the current scope, saving them to the unique string.",,1.33
set_consort,<string>The unique string of an exiled ruler.,set_consort = my_exiled_consort,Makes the exiled consort the consort of the current scope.,,1.33
change_heir_adm,<int>The amount to add or subtract from the heir's ADM skill.,change_heir_adm = 1,Adds ADM skill to the current heir.,,1.14
change_heir_dip,<int>The amount to add or subtract from the heir's DIP skill.,change_heir_dip = 1,Adds DIP skill to the current heir.,,1.14
change_heir_mil,<int>The amount to add or subtract from the heir's MIL skill.,change_heir_mil = 1,Adds MIL skill to the current heir.,,1.14
add_heir_personality,<personality>The heir personality to add.,add_heir_personality = righteous_personality,Adds the defined personality to the current heir.,Ruler personalities are found in/Europa Universalis IV/common/ruler_personalities/00_core.txt,1.18
remove_heir_personality,<personality>The heir personality to remove.,remove_heir_personality = righteous_personality,Removes the defined personality from the current heir.,Ruler personalities are found in/Europa Universalis IV/common/ruler_personalities/00_core.txt,1.18
set_heir_flag,<flag>A unique string to identify the heir flag with.,set_heir_flag = my_flagset_heir_flag = my_flag@ROOTset_heir_flag = my_flag@event_target:name,Defines an heir flag for the current scope's heir.,Flags can be appended with scopes or event targets,1.1
clr_heir_flag,<flag>The unique string of the flag to clear.,clr_heir_flag = my_flag,Clears an heir flag for the current scope's heir.,,1.1
add_heir_claim,<int>The amount to add or subtract from the claim.,add_heir_claim = 10,Adds to the current scope's heir claim.,,1.1
add_heir_support,<int>The amount of support to add or subtract to the local heir,add_heir_support = 10,Adds to the local heir's support in an Elective Monarchy.,,1.7
set_heir_culture,<culture>The culture to change to.,set_heir_culture = englishset_heir_culture = CASset_heir_culture = event_target:my_event_targetset_heir_culture = variable:my_variable,Changes the heir culture of the current scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txtCan utiliseEvent Scope Values.,1.23
set_heir_religion,<religion>The religion to change to.,set_heir_religion = catholicset_heir_religion = CASset_heir_religion = event_target:my_event_targetset_heir_religion = variable:my_variable,Changes the heir religion of the current scope.,Religions are found in/Europa Universalis IV/common/religions/*.txtCan utiliseEvent Scope Values.,1.23
exile_heir_as,<string>The unique string to identify the exiled heir with.,exile_heir_as = my_exiled_heir,"Removes the current heir of the current scope, saving them to the unique string.",,1.12
set_heir,<string>The unique string of an exiled heir.,set_heir = my_exiled_heir,Makes the exiled heir the heir of the current scope.,,1.12
kill_heir,allow_new_heir = yes / noOptional. Whether a new heir is allowed to spawn immediately or not. A new heir isnotguaranteed.,kill_heir = {}kill_heir = { allow_new_heir = no },Kills the heir of the current scope.,Displays heir death message.,1.1
remove_heir,allow_new_heir = yes / noOptional. Whether a new heir is allowed to spawn immediately or not. A new heir isnotguaranteed.,remove_heir = {}remove_heir = { allow_new_heir = no },Removes the heir of the current scope.,Does not display the heir death message.,1.1
convert_female_heir_to_general,yesBoolean.,convert_female_heir_to_general = yes,Converts a female heir into a general.,,1.15
convert_heir_to_general,yesBoolean.,convert_heir_to_general = yes,Converts a male heir into a general.,,1.8
define_heir_to_general,shock = <int>The shock pips of the leader.fire = <int>The fire pips of the leader.manuever = <int>The maneuver pips of the leader.siege = <int>The siege pips of the leader.,"define_heir_to_general = {
    fire = 3
    shock = 3
    manuever = 3
    siege = 3
}",Creates a general from the heir of the current scope.,,1.8
define_heir,"name = <string>Optional. The name of the heir.dynasty = <string> / <scope> / original_dynastyOptional. The dynasty of the heir.age = <years>Optional. The age of the heir.monarch_name = <string>Optional. The monarch name of the heir. This is the name that will be granted to them once the heir's rule starts, which the base game utilizes for regnal numbers.birth_date = <date>Optional. The birth date of the heir. Can be used instead of theageparameter.claim = <int>Optional. The starting legitimacy of the heir.adm = <int>Optional. The minimum ADM skill roll for the heir.dip = <int>Optional. The minimum DIP skill roll for the heir.mil = <int>Optional. The minimum MIL skill roll for the heir.max_random_adm = <int>Optional. The maximum ADM skill roll for the heir.max_random_dip = <int>Optional. The maximum DIP skill roll for the heir.max_random_mil = <int>Optional. The maximum MIL skill roll for the heir.hide_skills = yesOptional. Hides the skill values for this heir.hidden = yesOptional. Hides the skill values for this heir. Legacy version ofhide_skills.no_consort_with_heir = yesOptional. Makes the heir a child not of the consort, i.e. a bastardfemale = yesOptional. Forces the heir to be female.male = yesOptional. Forces the heir to be male.culture = <culture> / <scope>Optional. The culture of the heir.religion = <religion> / <scope>Optional. The religion of the heir.","define_heir = {
    dynasty = ""Kamegere""
    claim = 100		
}define_heir = {
    male = yes
    dynasty = ROOT
    name = ""Viracocha""
    monarch_name = ""Viracocha III""
    claim = 100
    adm = 6
}define_heir = {
    dynasty = ROOT
    age = 13
    adm = 3
    dip = 3
    mil = 3
    claim = 50
    female = yes
    no_consort_with_heir = yes
}",Creates the defined heir for the current scope.,"Thecultureandreligionattributes can utiliseEvent Scope Values.Thenameparameter can accept a saved name variable, seeset_saved_namefor more context.",1.1
add_imperial_influence,<int>The amount of influence to add or subtract.,add_imperial_influence = 10,Adds Imperial Influence for the current scope.,No effect if not emperor.,1.1
add_scaled_imperial_influence,<int>The amount of influence to add or subtract.,add_scaled_imperial_influence = 10,"Adds Imperial Influence for the current scope, scaled by the current Imperial Authority value.",No effect if not emperor.,1.1
elector,<scope>The country to make elector.yes / noBoolean.,elector = FRAelector = yes,Makes the defined scope an elector of the Holy Roman Empire.,,1.1
revoke_reform,<reform>The reform to remove.,revoke_reform = reichsreform,Removes an Imperial Reform.,Imperial Reforms are found in/Europa Universalis IV/common/imperial_reforms/00_hre.txt.,1.1
set_in_empire,yesBoolean.,set_in_empire = yes,Places the current scope and all owned provinces (if valid) in the empire.,,1.12
hre_inheritable,yesBoolean.,hre_inheritable = yes,Makes the seat of the Emperor inheritable.,,1.1
imperial_ban_allowed,yesBoolean.,imperial_ban_allowed = yes,Enables the Imperial Ban casus belli.,,1.1
internal_hre_cb,noBoolean.,internal_hre_cb = no,Disables casus belli creation for HRE members against one another.,,1.1
set_allow_female_emperor,yesBoolean.,set_allow_female_emperor = yes,Enables female rulers to become emperor.,,1.1
dismantle_hre,yesBoolean.,dismantle_hre = yes,Disbands the HRE and removes all members from it.,,1.1
enable_hre_leagues,yesBoolean.,enable_hre_leagues = yes,Enables the Religious Leagues.,,1.8
set_hre_religion,<religion>Which religion to set.,set_hre_religion = catholic,Makes the defined religion the official religion of the HRE.,,1.8
set_hre_heretic_religion,<religion>Which religion to set.,set_hre_heretic_religion = catholic,Makes the defined religion the heretic religion of the HRE.,,1.8
set_hre_religion_locked,yesBoolean.,set_hre_religion_locked = yes,"Locks the official and heretic religion assignments, ending the Religious Leagues.",,1.8
set_hre_religion_treaty,yesBoolean.,set_hre_religion_treaty = yes,Ends the Religious Leagues with no set religions.,,1.8
join_league,<scope>Which league to join.,join_league = FRA,Makes the current scope join the League that the defined scope belongs to.,,1.8
leave_league,<scope>Which league to leave.,leave_league = FRA,Makes the current scope leave the League that the defined scope belongs to.,,1.8
dismantle_empire_of_china,yes / noBoolean.,dismantle_empire_of_china = yes,Removes the Empire of China and the Mandate system.,,1.20
set_emperor_of_china,<scope>Which country to set.,set_emperor_of_china = MNG,Sets the current Emperor of China.,,1.20
add_mandate,<int>The amount of mandate to add or subtract.,add_mandate = 10,Adds mandate to the current scope.,No effect if not the emperor of china.,1.20
set_mandate,<int>The amount of mandate to set.,set_mandate = 10,Sets the mandate value for the current scope.,No effect if not the emperor of china.,1.20
set_revolution_target,<scope>The country to set.,set_revolution_target = FRA,Makes the defined scope the new revolutionary target.,Use---to remove the target and not reassign.,1.1
set_emperor,yes / noBoolean.,set_emperor = yes,"Makes the country scope emperor ifyes, or removes the current emperor ifno.",nowill remove the current emperor regardless of scope.NOTE: No popup for this effect.,1.32
set_ai_personality,personality = <type>The personality to use.locked = yes / noWhether the personality can be re-evaluated and changed.,"set_ai_personality = {
    personality = ai_capitalist
    locked = yes
}",Makes the current scope (if AI) the defined personality.,AI personalities are found in/Europa Universalis IV/common/ai_personalities/00_ai_personalities.txt.,1.1
set_ai_attitude,attitude = <type>The attitude to use.who = <scope>Who the attitude is directed against.locked = yes / noWhether the attitude can be re-evaluated and changed.,"set_ai_attitude = {
    attitude = attitude_friendly
    who = FRA
    locked = yes
}",Makes the current scope (if AI) have the defined attitude against the defined scope.,AI attitudes are found in/Europa Universalis IV/common/ai_attitudes/00_ai_attitudes.txt.,1.1
province_event,id = <id>The event id to fire.days = <days>Optional. The number of days to wait after the effect is executed to fire the event.random = <days>Optional. The max number of additional days that can be added to thedaysparameter for randomness.tooltip = <string>Optional. The tooltip to display in the effect tooltipcountry_eventis used in.,"province_event = { 
    id = uprising.1
    days = 30
    random = 15
    tooltip = UPRISING_TOOLTIP
}",Fire a province event for the current province scope. Appears for the owner of the province scope.,You cannot fire the same event within itself with a delay of 0.,1.1
add_province_modifier,name = <name>The event modifier to add.duration = <days>Optional. The number of days to add the province modifier for.hidden = yesOptional. Whether the province modifier is hidden in the province view.desc = <string>Optional. The string used to override the automatic duration string.,"add_province_modifier = { 
    name = annoyed_people
    duration = -1  
    desc = annoyed_people_tooltip
    hidden = yes
}",Adds an event modifier to the current province scope as a province modifier.,Modifiers added with this effect are cleared automatically when the province changes ownership.,1.1
add_permanent_province_modifier,name = <name>The event modifier to add.duration = <days>Optional. The number of days to add the province modifier for.hidden = yesOptional. Whether the province modifier is hidden in the province view.desc = <string>Optional. The string used to override the automatic duration string.,"add_permanent_province_modifier = { 
    name = annoyed_people
    duration = -1  
    desc = annoyed_people_tooltip
    hidden = yes
}",Adds an event modifier to the current province scope as a province modifier.,Modifiers added with this effect persist through ownership changes.,1.1
extend_province_modifier,name = <name>The event modifier to extend.duration = <days>,"extend_province_modifier = { 
    name = annoyed_people
    duration = 365
}",Extends the duration of an existing province modifier held by the current province scope.,Modifiers added with this effect persist through ownership changes.,1.1
remove_province_modifier,<modifier>The event modifier to remove.,remove_province_modifier = annoyed_people,Removes an already assigned province modifier from the current province scope.,,1.1
add_province_triggered_modifier,<modifier>The province triggered modifier to add.,add_province_triggered_modifier = test_modifier,Adds a province triggered modifier to the current province scope.,,1.24
remove_province_triggered_modifier,<modifier>The province triggered modifier to remove.,remove_province_triggered_modifier = test_modifier,Removes a province triggered modifier from the current province scope.,,1.24
set_province_flag,<flag>A unique string to identify the province flag with.,set_province_flag = my_flagset_province_flag = my_flag@ROOTset_province_flag = my_flag@event_target:name,Defines a province flag for the current province scope.,Flags can be appended with scopes or event targets,1.1
clr_province_flag,<flag>The unique string of a province flag to clear.,clr_province_flag = my_flag,Clears a defined province flag for the current province scope.,,1.1
change_province_name,<string>The name to change to.,"change_province_name = ""Paris""",Changes the province name of the current province scope to the defined name.,,1.1
rename_capital,<string>The name to change to.,"rename_capital = ""Paris""",Changes the capital name of the current province scope to the defined name.,The capital name is the second name that appears under the province name within the province window.,1.1
remove_revolution_from_province_effect,yes / noBoolean.,remove_revolution_from_province_effect = yes,Removes revolutionary ideas from scoped provice.,,
change_tribal_land,<scope>The scope to give the province as tribal land to.,change_tribal_land = ROOT,Changes the tribal owner of the current province scope province to the defined scope.,"The tooltip for the effect is bugged as the yellow coloring of the country name doesn't properly stop, potentially making unrelated tooltips yellow.",
add_base_tax,<int>The amount of base tax to add or subtract.,add_base_tax = 1,Adds base tax to the current province scope.,,1.1
add_base_production,<int>The amount of base production to add or subtract.,add_base_production = 1,Adds base production to the current province scope.,,1.1
add_base_manpower,<int>The amount of base manpower to add or subtract.,add_base_manpower = 1,Adds base manpower to the current province scope.,,1.1
add_prosperity,<int>The amount of prosperity to add or subtract.,add_prosperity = 1,Adds prosperity to the current province scope.,,1.20
add_devastation,<int>The amount of devastation to add or subtract.,add_devastation = 1,Adds devastation to the current province scope.,,1.20
add_local_autonomy,<int>The amount of local autonomy to add or subtract.,add_local_autonomy = 10,Adds local autonomy to the current province scope.,,1.8
set_local_autonomy,<int>The amount of local autonomy to set.,set_local_autonomy = 50,Sets local autonomy for the current province scope.,,1.12
change_trade_goods,<good>The trade good to set.,change_trade_goods = grain,Sets the trade good for the current province scope.,Trade Goods are found in/Europa Universalis IV/common/tradegoods/*.txt.,1.1
add_scaled_local_adm_power,<int>The amount of administrative power to add or subtract.,add_scaled_local_adm_power = 10,"Adds Administrative power to the owner of the current province scope, scaling with the base tax.",1 power per point of yearly base tax.,1.12
add_scaled_local_dip_power,<int>The amount of diplomatic power to add or subtract.,add_scaled_local_dip_power = 10,"Adds Diplomatic power to the owner of the current province scope, scaling with the base production.",1 power per point of yearly base production.,1.12
add_scaled_local_mil_power,<int>The amount of military power to add or subtract.,add_scaled_local_mil_power = 10,"Adds Military power to the owner of the current province scope, scaling with the base manpower.",1 power per point of yearly base manpower.,1.12
cancel_construction,yesBoolean.,cancel_construction = yes,Cancels any construction ongoing in the current province scope.,"Constructions are coring, religious conversion, cultural conversion, buildings and great projects.",1.6
add_great_project,type = <project>The great project to add.instant = yes / noDefines will Great Project be built instantly or not.,"add_great_project = {
    type = kiel_canal
    instant = no 
}",Starts construction of a great project in the current province scope.,Great projects are found in/Europa Universalis IV/common/great_projects/*.txt.,1.6
move_great_project,type = <project>The great project to move.province = <id>The province id to move the project to.instant = yes / noDefines will Great Project be moved instantly or not.,"move_great_project = {
    type = alhambra
    province = 370
    instant = yes
}",Moves defined great project to desired province in the current province scope. Works only if the great project is moveable.,Great projects are found in/Europa Universalis IV/common/great_projects/*.txt.,1.32
destroy_great_project,type = <project>The great project to destroy.,"destroy_great_project = {
    type = chichen_itza
}",Destroys the great project defined.,Great projects are found in/Europa Universalis IV/common/great_projects/*.txt.,1.32
add_great_project_tier,type = <project>The Great Project whose tier will be modifiedtier = <int>The amount to modify the tier by,"add_great_project_tier = {
    type = chichen_itza
    tier = 1
}","Addstiertiers to the Great Project referenced bytype. If a negative value is given, that many tiers will be removed instead.",Great projects are found in/Europa Universalis IV/common/great_projects/*.txt.,
add_construction_progress,<float>The amount of progress to add or subtract.,add_construction_progress = 0.05,Changes the construction progress of a building or great project in the current province scope.,Previously affected great projects only but now applies to any construction as of 1.35.,1.6
add_building,<building>The building to add.,add_building = temple,Adds the defined building to the current province scope.,Buildings are found in/Europa Universalis IV/common/buildings/*.txt.,1.1
remove_building,<building>The building to remove.,remove_building = temple,Removes the defined building to the current province scope.,Buildings are found in/Europa Universalis IV/common/buildings/*.txt.,1.1
add_building_construction,building = <building>The building to construct.speed = <float>The speed percentage of the base building speed to use.cost = <float>The cost percentage of the base building cost to use.,"add_building_construction = {
    building = temple
    speed = 0.5
    cost = 0.5
}",Starts building construction in the current province scope.,"costandspeedare a percentage of the base value, i.e.0.5is 50% of the base value.",1.11
set_base_tax,<int>The amount to set base tax to.,set_base_tax = 1,Sets base tax of the current province scope.,,1.27
set_base_production,<int>The amount to set base production to.,set_base_production = 1,Sets base production of the current province scope.,,1.27
set_base_manpower,<int>The amount to set base manpower to.,set_base_manpower = 1,Sets base manpower of the current province scope.,,1.27
add_random_development,<int>The amount of development to add.,add_random_development = 1,"Randomly adds the specified amount of base tax, base production, or base manpower to the current province scope.",,1.36
create_advisor,<advisor>The advisor to add.,create_advisor = treasurer,Adds the defined advisor for the owner of the current province scope.,Advisors are found in/Europa Universalis IV/common/advisors/*.txt.,1.1
set_seat_in_parliament,yes / noBoolean.,set_seat_in_parliament = yes,Adds the current province scope to Parliament.,No effect if the owner of the province does not have a government usinghas_parliament.,1.12
back_current_issue,yes / noBoolean.,back_current_issue = yes,"Backs or blocks the current issue in Parliament, if the current province scope has a seat.",No effect if the owner of the province does not have a government usinghas_parliament.,1.12
change_culture,<culture>The culture to change to.,change_culture = englishchange_culture = ENGchange_culture = event_target:my_event_targetchange_culture = variable:my_variable,Changes the culture of the current province scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txt.Can utiliseEvent Scope Values.,1.1
change_original_culture,<culture>The culture to change original culture to.,change_original_culture = englishchange_original_culture = ENGchange_original_culture = event_target:my_event_targetchange_original_culture = variable:my_variable,Changes theoriginal cultureof the current province scope.,Cultures are found in/Europa Universalis IV/common/cultures/*.txt.Can utiliseEvent Scope Values.,
add_culture_construction,yesBoolean.speed = <float>The speed percentage of the base conversion speed to use.cost = <float>The cost percentage of the base conversion cost to use.,"add_culture_construction = yesadd_culture_construction = {
    speed = 0.5
    cost = 0.5
}","Starts culture conversion in the current province scope, for the current owner. Target culture is always(?) the primary culture.","Attention: Uses ADM power instead of DIP power.costandspeedare a percentage of the base value, i.e.0.5is 50% of the base value.",1.12
change_religion,"<religion>The religion to change to.<scope>The religion to change to, derived from the scope.",change_religion = catholicchange_religion = CASchange_religion = event_target:my_event_targetchange_religion = variable:my_variable,Changes the religion of the current province scope.,Religions are found in/Europa Universalis IV/common/religions/*.txtCan utiliseEvent Scope Values.,1.1
change_to_secondary_religion,yesBoolean.,change_to_secondary_religion = yes,Changes the religion in the current province scope to the syncretic religion of its owner.,,1.14
send_missionary,yesBoolean.,send_missionary = yes,"Starts religious conversion in the current province scope, for the current owner.",,1.12
add_cardinal,yesBoolean.,add_cardinal = yes,"Adds a Cardinal to the current province scope, for the current owner.",,1.8
remove_cardinal,yesBoolean.,remove_cardinal = yes,Removes a Cardinal in the current province scope.,,1.8
add_reform_center,<religion>The religion to use.,add_reform_center = reformed,Adds a Center of Reformation for the defined religion in the current province scope.,,1.8
remove_reform_center,<religion>The religion to use.,remove_reform_center = reformed,Removes the Center of Reformation for the defined religion in the current province scope.,,1.8
set_in_empire,yes / noBoolean.,set_in_empire = yes,Places the current province scope in the Holy Roman Empire.,,1.1
add_institution_embracement,which = <institution>The institution to add to.value = <int>The amount of embracement to add or subtract.,"add_institution_embracement = {
    which = feudalism
    value = 10
}",Adds institution embracement progress for the defined institution in the current province scope.,The defined institution must be enabled for the owner of the province first.,1.18
reset_golden_age,yes / noBoolean.,reset_golden_age = yes,Allows the country to click the golden age button again.,No effect if the country is already in golden age.,1.34
extend_golden_age,<months>,extend_golden_age = 360,Extends the current golden age by X months.,No effect if the country is not in a golden age.,1.34
add_nationalism,<int>The amount to add or subtract.,add_nationalism = 10,Adds Nationalism to the current province scope.,,1.1
add_unrest,<int>The amount to add or subtract.,add_unrest = 10,Adds Local Unrest to the current province scope.,Appears underBase Unrest.,1.8
create_native,<int>The multiplier to use.,create_native = 1,"Spawns (native population * multiplier) natives in the current province scope, rounded up to nearest 1k stack.",Only useful in colonies; will immediately disappear in cities or uncolonized provinces.,1.1
create_pirate,<int>The size to use.,create_pirate = 1,Spawns pirates in the current province scope.,Only spawnable in sea zones and land provinces with ports.,1.1
create_revolt,<int>The size to use.,create_revolt = 1,Spawns the most likely rebel type in the current province scope.,,1.1
<rebel type>,<int>The size to use.,anti_tax_rebels = 1,Spawns the defined rebel type in the current province scope.,Rebel types found in/Europa Universalis IV/common/rebel_types/*.txt.,1.1
spawn_rebels,type = <type>The size type to use.size = <int>The size to use.culture = <culture> / <scope>Optional. The culture the rebels belong to.religion = <religion> / <scope>Optional. The religion the rebels belong to.unrest = <int>Optional. Adds this amount of unrest to the province the rebels spawn in.win = yesOptional. Changes control of the province the rebels spawn in to the rebels.friend = <scope>Optional. Associate a country with the rebels.leader = <string>Optional. Assigns the rebel leader a specific name. Can useset_saved_name.leader_dynasty = <string>Optional. Assigns the rebel leader a specific dynasty.female = yesOptional. Makes the rebel leader female.use_heir_as_leader = yesOptional. Makes the owner's heir the rebel leader. Removes heir.use_consort_as_leader = yesOptional. Makes the owner's consort the rebel leader. Removes consort.separatists_target = <scope>Optional. Associates the Rebels with a specific target country.estate = <estate>Optional. Associates the Rebels with a specific estate.as_if_faction = yesOptional. Makes the Rebel size scale with its associated estate.should_take_capital = yesOptional. Forces the rebels to always try and take the capital.,"spawn_rebels = {
    type = noble_rebels
    size = 1
}spawn_rebels = {
    type = pretender_rebels
    size = 2
    leader = rebel_preacher
}spawn_rebels = {
    type = catholic_rebels
    size = 2
    friend = FROM
}",Spawns the defined rebels in the current province scope.,Rebel types found in/Europa Universalis IV/common/rebel_types/*.txt.,1.1
create_colony,<int>The initial size of the colony.,"random_empty_neighbor_province = {
    create_colony = 200
}",Starts a colony belonging to the owner of the ROOT province scope.,,1.1
add_colonysize,<int>The amount of settlers to add.,add_colonysize = 10,Adds settlers to the current province scope if a colony.,,1.1
multiply_colonysize,<float>The multiplier to use.,multiply_colonysize = 2,Multiplies the settler count in the current province scope if a colony.,,1.1
add_siberian_construction,<int>The initial size of the colony.,add_siberian_construction = 400,Starts a siberian colony in the current province scope.,,1.22
change_native_ferocity,<int>The amount to add or subtract.,change_native_ferocity = 5,Adds to the Native Ferocity within an uncolonized province.,,1.1
change_native_hostileness,<int>The amount to add or subtract.,change_native_hostileness = 5,Adds to the Native Hostileness within an uncolonized province.,,1.1
change_native_size,<int>The amount to add or subtract.,change_native_size = 50,Adds to the amount of natives within an uncolonized province.,,1.1
discover_country,<scope>The country that gains vision.,"upper_peru_region = {
    discover_country = FRA
}",The defined scope gains vision over the current province scope.,"Best used within areas, regions, etc. to add vision.",1.1
undiscover_country,<scope>The country that loses vision.,"upper_peru_region = {
    undiscover_country = FRA
}",The defined scope loses vision over the current province scope.,"Best used within areas, regions, etc. to remove vision.",1.1
native_policy,<type>The type of Native Policy to set.,native_policy = native_policy_trade,Changes the current scope's native policy to X.,Note when used within a trigger scope this will instead check if the country has the specific native policy active.,1.28
add_claim,<scope>The country that gains the claim.,"capital_scope = {
    add_claim = FRA
}",The defined scope gains a claim on the current province scope.,,1.1
add_core,<scope>The country that gains the core.,"capital_scope = {
    add_core = FRA
}",The defined scope gains a core on the current province scope.,,1.1
add_core_construction,yesBoolean.speed = <float>The speed percentage of the base coring speed to use.cost = <float>The cost percentage of the base coring cost to use.,"add_core_construction = yesadd_core_construction = {
    speed = 0.5
    cost = 1
}","Starts core construction in the current province scope, for the current owner.Second instance starts core construction at double the speed and full coring cost.",Minimum core construction time is 1 month,1.11
add_permanent_claim,<scope>The country that gains the permanent claim.,"capital_scope = {
    add_permanent_claim = FRA
}",The defined scope gains a permanent claim on the current province scope.,,1.14
add_territorial_core,<scope>The country that gains the territorial core.,"capital_scope = {
    add_territorial_core = FRA
}",The defined scope gains a territorial core on the current province scope.,,1.18
cede_province,<scope>The country that gains ownership.,"capital_scope = {
    cede_province = FRA
}",The defined scope gains ownership of the current province scope.,"previous_ownercan be used to cede ownership to the last previous owner of a province. If you're using an event target, and the event target points to an uncolonized province, this province will become uncolonized.",,1.1
change_controller,<scope>The country that gains control.,"capital_scope = {
    change_controller = FRA
}",The defined scope gains control over the current province scope.,"Control here means occupation, not ownership.",1.1
decolonize,<scope>The province that gets decolonized.,"1 = {
    decolonize = THIS
}",The current scope is decolonized.,Can also accept province IDs.,1.34
remove_claim,<scope>The country that loses their claim.,"capital_scope = {
    remove_claim = FRA
}",The defined scope loses their claim on the current province scope.,Works for both types of claims.,1.1
remove_core,<scope>The country that loses their core.,"capital_scope = {
    remove_core = FRA
}",The defined scope loses their core on the current province scope.,,1.1
remove_territorial_core,<scope>The country that loses their territorial core.,"capital_scope = {
    remove_territorial_core = FRA
}",The defined scope loses their territorial core on the current province scope.,,1.18
artillery,<scope>The country scope the artillery belongs to,"capital_scope = {
    artillery = FRA
}",Spawns an artillery unit in the current province scope for the defined country scope.,Uses the currently selected artillery unit.,1.1
revolutionary_guard_artillery,<scope>The country scope the revolutionary artillery belongs to,"capital_scope = {
    revolutionary_guard_artillery = FRA
}",Spawns a revolutionary artillery unit in the current province scope for the defined country scope.,Uses the currently selected artillery unit.,1.35
