Value,Type,Description,Scope,Example
military_strength,Clause,"Returns true, if the country's military strength (army size & navy size combined) is at least the size of X times the military strength of the specified country",Country,"military_strength = {
        who = FROM
        value = 2.0
    }"
mission_completed,Identifier,Returns true if the country has completed mission X.,Country,mission_completed = eng_mighty_army
monthly_adm,Integer,Returns true if the country gains at least X adm power every month.,Country,monthly_adm = 3
monthly_dip,Integer,Returns true if the country gains at least X dip power every month.,Country,monthly_dip = 3
monthly_income,Integer,Returns true if the country has a monthlyincomeof at least X.,Country,monthly_income = 5
monthly_income,"Tag, Scope",Returns true if the country has an at least as high monthly income as the specified country.,Country,monthly_income = MAM
monthly_mil,Integer,Returns true if the country gains at least X mil power every month.,Country,monthly_mil = 3
months_of_ruling,Integer,Returns true if the country has arulerthat has ruled for at least X months.,Country,months_of_ruling = 12
months_since_defection,Integer,Returns true if the province defected within the last X months.,Province,months_since_defection = 12
nation_designer_points,Identifier,Returns true if at least X points were used when creating thecustom nation.,Country,nation_designer_points = 802
national_focus,Identifier,Returns true if country has set thenational focusto X.,Country,national_focus = ADM
nationalism,Integer,Returns true if province has at least X years ofseparatismremaining.,Province,nationalism = 5
nationalism_debug,Integer,,Province,nationalism_debug = 1
native_ferocity,Integer,Returns true if ferocity of natives in the province is at least X.,Province,native_ferocity = 3
native_hostileness,Integer,Returns true if hostileness of natives in the province is at least X.,Province,native_hostileness = 2
native_policy,Identifier,Returns true if country has the specified native policy.,Country,native_policy = native_policy_trade
native_size,Integer,Returns true if size of natives in the province is at least X.,Province,native_size = 30
naval_forcelimit,Integer,Returns true if the country has anaval force limitof at least X.,Country,naval_forcelimit = 24
naval_forcelimit,"Tag, Scope",Returns true if the country has a naval force limit of at least as many ships as the specified country.,Country,naval_forcelimit = SWE
naval_maintenance,Float,Returns true if the country'snaval maintenanceslider is at least X fraction of maximum.,Country,naval_maintenance = 0.33
naval_morale,Float,Returns true if the country has amorale of naviesof at least X.,Country,naval_morale = 2.5
naval_morale,"Tag, Scope",Returns true if the country has an at least as high morale of navies as the specified country.,Country,naval_morale = GBR
naval_strength,Clause,"Returns true, if the country's navy size is at least the size of X times the navy size of the specified country.",Country,"naval_strength = {
        who = ENG
        value = 0.5
    }"
navy_size,Integer,Returns true if the current scope has a navy of at least Xships.,Country,navy_size = 300
navy_size,"Tag, Scope",Returns true if the current scope has a navy at least as large as the specified country.,Country,navy_size = SPA
navy_size_percentage,Integer,Returns true if the ratio of the total navy size of the country to itsnaval force limitis at least X.,Country,navy_size_percentage = 0.50
navy_tradition,Integer,Returns true if the country has anavy traditionof at least X.,Country,navy_tradition = 95
navy_tradition,"Tag, Scope",Returns true if the country has an at least as high navy tradition as specified country.,Country,navy_tradition = GBR
normal_or_historical_nations,Boolean,Returns true if game is set to usenormal or historical nations.,Anywhere,normal_or_historical_nations = yes
normal_province_values,Boolean,Returns true if game is set to usenormal province values.,Anywhere,normal_province_values = yes
num_accepted_cultures,Integer,"Returns true, if the country has at least X accepted cultures.",Country,num_accepted_cultures = 1
num_free_building_slots,Integer,Returns true if the province has at least Xbuilding slotsremaining.,Province,num_free_building_slots = 1
num_investments_in_trade_company_region,Clause,Returns true if there are at least X trade company investments in the trade company region.,Province,"num_investments_in_trade_company_region = { 
        investment = company_administration
        value = 3
    }"
num_of_active_blessings,Integer,Returns true if the country has enabled at least Xblessings.,Country,num_of_active_blessings = 5
num_of_admirals,Integer,Returns true if the country has at least Xadmirals.,Country,num_of_admirals = 2
num_of_admirals,"Tag, Scope",Returns true if the country has at least as many admirals as the specified country.,Country,num_of_admirals = SPA
num_of_admirals_with_traits,Integer,Returns true if the country has at least Xadmiralswith traits.,Country,num_of_admirals_with_traits = 1
num_of_allies,Integer,Return true if the country has at least Xallies.,Country,num_of_allies = 7
num_of_allies,"Tag, Scope",Returns true if the country has at least as many allies as the specified country.,Country,num_of_allies = ARA
num_of_artillery,Integer,Returns true if the country has at least X artillery regiments.,Country,num_of_artillery = 12
num_of_artillery,"Tag, Scope",Returns true if the country has at least as many artillery regiments as the specified country.,Country,num_of_artillery = FRA
num_of_aspects,Integer,Returns true if the country has at least Xchurch aspects.,Country,num_of_aspects = 2
num_of_aspects,"Tag, Scope",Returns true if the country has at least as many church aspects as the specified country.,Country,num_of_aspects = SWE
num_of_banners,Integer,"Returns true, if the country has at least X banner units.",Country,num_of_banners = 3
num_of_banners,"Tag, Scope",Returns true if the country has at least as many banners as the specified country.,Country,num_of_banners = MCH
num_of_buildings_in_province,Integer,"Returns true, if the province has at least X buildings",Province,num_of_buildings_in_province = 3
num_of_captured_ships_with_boarding_doctrine,Integer,Returns true if the country has captured at least X ships while having the ‘Ship Boarding’naval doctrine.,Country,num_of_captured_ships_with_boarding_doctrine = 20
num_of_caravel,Integer,Returns true if the country has at least X caravel ships.,Country,num_of_caravel = 100
num_of_caravel,"Tag, Scope",Returns true if the country has at least as many caravel regiments as the specified country.,Country,num_of_caravel = SPA
num_of_cardinals,Integer,Returns true if the country has at least Xcardinalsin the Holy See.,Country,num_of_cardinals = 3
num_of_cardinals,"Tag, Scope",Returns true if the country has at least as many cardinals as the specified country.,Country,num_of_cardinals = FRA
num_of_carolean,Integer,Returns true if the country has at least X carolean regiments.,Country,num_of_carolean = 100
num_of_carolean,"Tag, Scope",Returns true if the country has at least as many caroleans as the specified country.,Country,num_of_carolean = SWE
num_of_cavalry,Integer,Returns true if the country has at least X cavalry regiments.,Country,num_of_cavalry = 23
num_of_cavalry,"Tag, Scope",Returns true if the country has at least as many cavalry regiments as the specified country.,Country,num_of_cavalry = FRA
num_of_cawa,Integer,Returns true if the country has at least X cawa regiments.,Country,num_of_cawa = 100
num_of_cawa,"Tag, Scope",Returns true if the country has at least as many cawa as the specified country.,Country,num_of_cawa = ETH
num_of_centers_of_trade,Integer,Returns true if the country has at least X centers of trade.,Country,num_of_centers_of_trade = 5
num_of_cities,Integer,Returns true if the country owns at least Xcities.,Country,num_of_cities = 15
num_of_cities,"Tag, Scope",Returns true if the country owns at least as many cities as the specified country.,Country,num_of_cities = ROOT
num_of_coalition_members,Integer,Returns true if the country is in acoalitionof at least X members.,Country,num_of_coalition_members = 6
num_of_colonies,Integer,Returns true if the country has at least X unfinishedcolonies.,Country,num_of_colonies = 2
num_of_colonists,Integer,Returns true if the country has at least Xcolonists.,Country,num_of_colonists = 2
num_of_conquistadors,Integer,Returns true if the country has at least Xconquistadors.,Country,num_of_conquistadors = 2
num_of_conquistadors,"Tag, Scope",Returns true if the country has at least as many conquistadors as the specified country.,Country,num_of_conquistadors = ROOT
num_of_consorts,Integer,"Returns true, if the ruler of the country had at least X separate consorts.",Country,num_of_consorts = 6
num_of_continents,Integer,"Returns true, if the country owns provinces on at least X continents. Only provinces owned by the country itself are taken into account, not provinces owned by subjects.",Country,num_of_continents = 3
num_of_cossacks,Integer,"Returns true, if the country has at least X cossack units.",Country,num_of_cossacks = 3
num_of_cossacks,"Tag, Scope",Returns true if the country has at least as many cossack regiments as the specified country.,Country,num_of_cossacks = ZAZ
num_of_custom_nations,Integer,Returns true if there are at least Xcustom nationsin the game.,Country,num_of_custom_nations = 1
num_of_different_cultures_in_court,Integer,Returns true if there are at least X possible advisors with a different culture to the primary culture of the country in court.,Country,num_of_different_cultures_in_court = 4
num_of_different_religions_in_court,Integer,Returns true if there are at least X possible advisors with a different religion to the country in court.,Country,num_of_different_religions_in_court = 4
num_of_diplomatic_relations,Integer,Returns true if the country has at least Xdiplomatic relations.,Country,num_of_diplomatic_relations = 3
num_of_diplomats,Integer,Returns true if the country has at least Xdiplomats.,Country,num_of_diplomats = 2
num_of_electors,Integer,Returns true if there are at least Xelectorsof the HRE.,Anywhere,num_of_electors = 7
num_of_estate_privileges,Clause,Returns true if the country has granted at least Xprivilegesto the specifiedestate.,Country,"num_of_estate_privileges = {
        estate = estate_brahmins
        value = 2
    }"
num_of_explorers,Integer,Returns true if the country has at least Xexplorers.,Country,num_of_explorers = 1
num_of_explorers,"Tag, Scope",Returns true if the country has at least as many explorers as the specified country.,Country,num_of_explorers = ENG
num_of_foreign_hre_provinces,Integer,Returns true if there are at least X provinces owned by non-member states or subjects of non-member states.,Anywhere,num_of_foreign_hre_provinces = 2
num_of_free_diplomatic_relations,Integer,Returns true if the country has at least X freediplomatic relationsslots.,Country,num_of_free_diplomatic_relations = 1
num_of_galleass,Integer,Returns true if the country has at least X galleass ship units.,Country,num_of_galleass = 100
num_of_galleass,"Tag, Scope",Returns true if the country has at least as many galleass ships as the specified country.,Country,num_of_galleass = VEN
num_of_galleon,Integer,Returns true if the country has at least X galleon ship units.,Country,num_of_galleon = 100
num_of_galleon,"Tag, Scope",Returns true if the country has at least as many galleon ships as the specified country,Country,num_of_galleon = SPA
num_of_galley,Integer,Returns true if the country has at least Xgalleys.,Country,num_of_galley = 20
num_of_galley,"Tag, Scope",Returns true if the country has at least as many galleys as the specified country.,Country,num_of_galley = VEN
num_of_generals,Integer,Returns true if the country has at least Xgenerals.,Country,num_of_generals = 2
num_of_generals,"Tag, Scope",Returns true if the country has at least as many generals as the specified country.,Country,num_of_generals = FROM
num_of_generals_with_traits,Integer,Returns true if the country has at least Xgeneralswith traits.,Country,num_of_generals_with_traits = 1
num_of_geobukseon,Integer,Returns true if the country has at least X geobukseon units.,Country,num_of_geobukseon = 100
num_of_geobukseon,"Tag, Scope",Returns true if the country has at least as many geobukseon units as the specified country.,Country,num_of_geobukseon = KOR
num_of_harmonized,Integer,"Returns true, if the country has harmonized with at least X religions or religion groups.",Country,num_of_harmonized = 2
num_of_heavy_ship,Integer,Returns true if the country has at least Xheavy ships.,Country,num_of_heavy_ship = 20
num_of_heavy_ship,"Tag, Scope",Returns true if the country has at least as many heavy ships as the specified country.,Country,num_of_heavy_ship = ENG
num_of_hussars,Integer,Returns true if the country has at least X hussars.,Country,num_of_hussars = 100
num_of_hussars,"Tag, Scope",Returns true if the country has at least as many hussars as the specified country.,Country,num_of_hussars = POL
num_of_infantry,Integer,Returns true if the country has at least X infantry regiments.,Country,num_of_infantry = 300
num_of_infantry,"Tag, Scope",Returns true if the country has at least as many infantry regiments as the specified country.,Country,num_of_infantry = FROM
num_of_janissaries,Integer,Returns true if the country has at least X Janissaries.,Country,num_of_janissaries = 10
num_of_janissaries,"Tag, Scope",Returns true if the country has at least as many janissaries as the specified country.,Country,num_of_janissaries = TUR
num_of_light_ship,Integer,Returns true if the country has at least Xlight ships.,Country,num_of_light_ship = 20
num_of_light_ship,"Tag, Scope",Returns true if the country has at least as many light ships as the specified country.,Country,num_of_light_ship = GEN
num_of_loans,Integer,Returns true if the country has at least Xloans.,Country,num_of_loans = 15
num_of_loans,"Tag, Scope",Returns true if the country has taken at least as many loans as the specified country.,Country,num_of_loans = LIT
num_of_mamluks,Integer,Returns true if the country has at least X mamluks regiments.,Country,num_of_mamluks = 100
num_of_mamluks,"Tag, Scope",Returns true if the country has at least as many mamluks as the specified country.,Country,num_of_mamluks = MAM
num_of_man_of_war,Integer,Returns true if the country has at least X man of war heavy ships.,Country,num_of_man_of_war = 100
num_of_man_of_war,"Tag, Scope",Returns true if the country has at least as many man of war ships as the specified country.,Country,num_of_man_of_war = GBR
num_of_marches,Integer,Returns true if the country has at least Xmarches.,Country,num_of_marches = 2
num_of_marches,"Tag, Scope",Returns true if the country has at least as many marches as the specified country.,Country,num_of_marches = POL
num_of_marines,Integer,Returns true if the country has enabled at least X marines.,Country,num_of_marines = 5
num_of_marines,"Tag, Scope",Returns true if the country has at least as many marines as the specified country.,Country,num_of_marines = GBR
num_of_mercenaries,Integer,Returns true if the country has at least Xmercenaryregiments.,Country,num_of_mercenaries = 10
num_of_mercenaries,"Tag, Scope",Returns true if the country has at least as many mercenary regiments as the specified country.,Country,num_of_mercenaries = TUR
num_of_merchants,Integer,Returns true if the country has at least Xmerchants.,Country,num_of_merchants = 3
num_of_missionaries,Integer,Returns true if the country has at least Xmissionaries.,Country,num_of_missionaries = 2
num_of_musketeers,Integer,Returns true if the country has at least X musketeers units.,Country,num_of_musketeers = 10
num_of_musketeers,"Tag, Scope",Returns true if the country has at least as many musketeers as the specified country.,Country,num_of_musketeers = FRA
num_of_owned_and_controlled_institutions,Integer,"Returns true, if the country owns and controls at least X provinces that are institution origins.",Country,num_of_owned_and_controlled_institutions = 2
num_of_owned_provinces_with,Clause,Returns true if at least X provinces of the scoped country match the specified condition(s).,Country,"num_of_owned_provinces_with = {
        value = 15
        has_owner_accepted_culture = no
        NOT = { culture = root }
        is_overseas = no
    }"
num_of_pashas,Integer,Returns true if the country has at least X pashas.,Country,num_of_pashas = 20
num_of_ports,Integer,Returns true if country owns at least Xhome ports(in lands contiguously connected to the capital).,Country,num_of_ports = 20
num_of_ports,"Tag, Scope",Returns true if the country has at least as many home ports as the specified country.,Country,num_of_ports = MNG
num_of_ports_blockading,Integer,Returns true if the country blockades at least X ports.,Country,num_of_ports_blockading = 10
num_of_powerful_estates,Integer,Returns true if the country has at least Xestateswith at least 70 influence.,Country,num_of_powerful_estates = 2
num_of_protectorates,Integer,Returns true if the country has at least Xprotectorates. Obsolete since 1.20.,Country,num_of_protectorates = 2
num_of_protectorates,"Tag, Scope",Returns true if the country has at least as many protectorates as the specified country. Obsolete since 1.20.,Country,num_of_protectorates = POR
num_of_provinces_in_states,Integer,Returns true if the country has at least X provinces instates.,Country,num_of_provinces_in_states = 14
num_of_provinces_in_territories,Integer,Returns true if the country has at least X provinces interritories.,Country,num_of_provinces_in_territories = 12
num_of_provinces_owned_or_owned_by_non_sovereign_subjects_with,Clause,Returns true if there are at least X provinces that fulfill the declared conditions owned by the country and its non-tributary subjects.,Country,"num_of_provinces_owned_or_owned_by_non_sovereign_subjects_with = {
        value = 1
        colonial_region = colonial_the_carribean
        is_city = yes
    }"
num_of_provinces_owned_or_owned_by_subjects_with,Clause,Returns true if there are at least X provinces that fulfill the declared conditions owned by the country and its subjects.,Country,"num_of_provinces_owned_or_owned_by_subjects_with = {
        value = 8
        region = sahel_region
    }"
num_of_qizilbash,Integer,Returns true if the country has at least X qizilbash regiments.,Country,num_of_qizilbash = 3
num_of_qizilbash,"Tag, Scope",Returns true if the country has at least as many qizilbash as the specified country.,Country,num_of_qizilbash = PER
num_of_rajput,Integer,Returns true if the country has at least Xrajput regiments.,Country,num_of_rajput = 20
num_of_rajput,"Tag, Scope",Returns true if the country has at least as many rajputs as the specified country.,Country,num_of_rajput = RJP
num_of_rebel_armies,Integer,Returns true if the number ofrebelarmies in the country is at least X.,Country,num_of_rebel_armies = 3
num_of_rebel_armies,"Tag, Scope",Returns true if there are at least as many rebel armies in the country as the specified country.,Country,num_of_rebel_armies = SWI
num_of_rebel_controlled_provinces,Integer,Returns true if the number ofrebelcontrolled provinces in the country is at least X.,Country,num_of_rebel_controlled_provinces = 3
num_of_rebel_controlled_provinces,"Tag, Scope",Returns true if the country has at least as many rebel-controlled provinces as the specified country.,Country,num_of_rebel_controlled_provinces = TIM
num_of_regiments_at_full_drill,Integer,Returns true if the country has at least X regiments at full drill,Country,num_of_regiments_at_full_drill = 100
num_of_religion,Clause,Float value: Returns true if the ratio of the provinces with the specified religion to the total provinces of the country is at least X.Integer value: Returns true if the country has at least X provinces with the specified religion.It is also possible to specify the secondary religion bysecondary = yes.,Country,"num_of_religion = {
        religion = animism
        value = 0.3
    }"
num_of_revolts,Integer,Returns true if the number of revolts in the country is at least X.The same as ‘num_of_rebel_controlled_provinces’.,Country,num_of_revolts = 3
num_of_revolts,"Tag, Scope",Returns true if the country has at least as many rebel controlled provinces as the specified country.,Country,num_of_revolts = TIM
num_of_revolutionary_guard,Integer,Returns true if the country has at least X revolutionary guard units,Country,num_of_revolutionary_guard = 10
num_of_revolutionary_guard,"Tag, Scope",Returns true if the country has at least as many revolutionary guards as the specified country,Country,num_of_revolutionary_guard = FRA
num_of_royal_marriages,Integer,Returns true if the country has at least Xroyal marriages.,Country,num_of_royal_marriages  = 2
num_of_royal_marriages,"Tag, Scope",Returns true if the country has at least as many royal marriages as the specified country.,Country,num_of_royal_marriages = ENG
num_of_samurai,Integer,Returns true if the country has at least X samurai regiments.,Country,num_of_samurai = 100
num_of_samurai,"Tag, Scope",Returns true if the country has at least as many samurai regiments as the specified country.,Country,num_of_samurai = JAP
num_of_special_units,Clause,Returns true if the country has at least X special regiments of <type>Accepts all special units listedhere.,Country,"num_of_special_units = { 
        special_unit_category = man_of_war
        type = heavy_ship 
        value = 40
    }"
num_of_states,Integer,Returns true if the country has at least Xstates.,Country,num_of_states = 8
num_of_streltsy,Integer,"Returns true, if the country has at least X streltsy units.",Country,num_of_streltsy = 3
num_of_streltsy,"Tag, Scope",Returns true if the country has at least as many streltsy as the specified country.,Country,num_of_streltsy = RUS
num_of_strong_trade_companies,Integer,Returns true if the country has at least X strongtrade companies.,Country,num_of_strong_trade_companies = 4
num_of_subjects,Integer,Returns true if the country is the overlord of at least X subject countries of any type.,Country,num_of_subjects = 1
num_of_tercio,Integer,Returns true if the country has at least X tercio regiments.,Country,num_of_tercio = 10
num_of_tercio,"Tag, Scope",Returns true if the country has at least as many tercios as the specified country.,Country,num_of_tercio = SPA
num_of_territories,Integer,"Returns true, if the country has at least X territories (areas that aren't states).",Country,num_of_territories = 10
num_of_times_expanded_infrastructure,Integer,Returns true if the province has had its infrastructure expanded at least X times.,Province,num_of_times_expanded_infrastructure  = 2
num_of_times_improved,Integer,Returns true if thedevelopmentof the province was improved at least X times.,Province,num_of_times_improved = 5
num_of_times_improved_by_owner,Integer,Returns true if thedevelopmentof the province was improved at least X times by the current owner.,Province,num_of_times_improved_by_owner = 5
num_of_times_used_pillage_capital,Integer,Returns true if the country has used thePillage Capitalpeace treaty at least X times.,Country,num_of_times_used_pillage_capital = 10
num_of_times_used_transfer_development,Integer,Returns true if the country has used theConcentrate Developmentaction at least X times.,Country,num_of_times_used_transfer_development = 5
num_of_total_ports,Integer,Returns true if the country owns at least X total ports (anywhere in the world).,Country,num_of_total_ports  = 20
num_of_total_ports,"Tag, Scope",Returns true if the country owns at least as many total ports as the specified country.,Country,num_of_total_ports = JAP
num_of_trade_companies,Integer,Returns true if the country has at least Xtrade companies.,Country,num_of_trade_companies = 3
num_of_trade_embargos,Integer,Returns true if the country has at least X tradeembargos.,Country,num_of_trade_embargos = 3
num_of_trading_bonuses,Integer,Returns true if the country hasat least X ‘trading in’ bonuses.,Country,num_of_trading_bonuses = 7
num_of_transport,Integer,Returns true if the country has at least Xtransports.,Country,num_of_transport = 24
num_of_transport,"Tag, Scope",Returns true if the country has at least as many transports as the specified country.,Country,num_of_transport = DEN
num_of_trusted_allies,Integer,Returns true if the country has at least Xallieswith 100trust.,Country,num_of_trusted_allies = 3
num_of_units_in_province,Clause,"Returns true if the specified country has at least X units of the specified type in the province. (typeandwhoare not needed, if not included will default to all.)",Province,"num_of_units_in_province = {
        who =
        type =
        amount =
    }"
num_of_unlocked_cults,Integer,Returns true if the country has unlocked at least Xcults.,Country,num_of_unlocked_cults = 13
num_of_voc_indiamen,Integer,Returns true if the country has at least X voc indiamen units.,Country,num_of_voc_indiamen = 100
num_of_voc_indiamen,"Tag, Scope",Returns true if the country has at least as many voc indiamen units as the specified country.,Country,num_of_voc_indiamen = NED
num_of_war_reparations,Integer,Returns true if the country receiveswar reparationsfrom at least X countries.,Country,num_of_war_reparations = 4
num_of_war_reparations,"Tag, Scope",Returns true if the country receives war reparations from at least as many countries as the specified country.,Country,num_of_war_reparations = ROOT
num_ships_privateering,Integer,Returns true if country has at least X shipsprivateering.,Country,num_ships_privateering = 20
num_ships_privateering,"Tag, Scope",Returns true if the country has at least as many ships privateering as the specified country.,Country,num_ships_privateering = HSA
offensive_war_with,"Tag, Scope",Returns true if the country is in an offensive war with country X.,Country,offensive_war_with = ROOT
overextension_percentage,Float,Returns true if country has at least X%overextension.,Country,overextension_percentage = 0.75
overlord_of,"Tag, Scope",Returns true if the country is theoverlordof X.,Country,overlord_of = FRA
overseas_provinces_percentage,Float,Returns true if the country has X percentage ofoverseasprovinces.,Country,overseas_provinces_percentage = 0.05
owes_favors,Integer,Returns true if the scoped country owes favours to the specified country.,Country,"owes_favors = { 
             who = FRA 
             value = 10 
    }"
owned_by,"Tag, Scope",Returns true if the province is owned by the country X.,Province,owned_by = TUR
owned_by_subject_of,"Tag, Scope",Returns true if the current province scope is owned by a subject of country X.,Province,owned_by_subject_of = FRA
owns,Province ID,Returns true if the country owns the specified province.,Country,owns = 236
owns_all_provinces,Clause,Returns true if the country or its non-tributary subjects own all provinces with the specified conditions.,Country,"owns_all_provinces = {
        continent = asia
        has_terrain = grasslands
    }"
owns_core_province,Province ID,Returns true if the country owns and has acoreon the specified province.,Country,owns_core_province = 217
owns_or_non_sovereign_subject_of,Province ID,"Returns true, if the country or a subject that is not categorized as ""sovereign"" (e.g. tributary states are excluded) owns the specified province.",Country,owns_or_non_sovereign_subject_of = 151
owns_or_subject_of,"Province ID, Scope","Returns true, if the country or a subject owns the specified province.",Country,owns_or_subject_of = 151
papacy_active,Boolean,Returns true if thepapacyis active.,Anywhere,papacy_active = yes
papal_influence,Integer,Returns true if the country'spapal influenceis at least X.,Country,papal_influence = 100
papal_influence,"Tag, Scope",Returns true if the country has at least as much papal influence as the specified country.,Country,papal_influence = KID
patriarch_authority,Float,Returns true if the country'spatriarch authorityis at least X.,Country,patriarch_authority = 0.75
percentage_backing_issue,Float,Returns true if at least the Xth part of the seats in theparliamentis backing for the current issue.,Country,percentage_backing_issue = 0.5
personal_union,Integer,Returns true if the country has at least Xpersonal unions.,Country,personal_union = 3
personality,Identifier,"Returns true if the country has arulerwhichpersonalityis X. Is limited to ai_personalities listed in base game file 'common/ai_personalities/00_ai_personalities.txt'. For ruler personality, use ruler_has_personality",Country,personality = ai_militarist
piety,Float,Returns true if the country'spietyis at least X.,Country,piety = -0.75
piety,"Tag, Scope",Returns true if the country has at least as much piety as the specified country.,Country,piety = MOR
possible_buildings,Integer,"Returns true if the province has at least X building slots, including occupied ones.",Province,possible_buildings = 3
power_projection,Integer,Returns true if country has aPower_projectionof at least X. Appeared in 1.30,Country,power_projection = 90
preferred_emperor,"Tag, Scope",Returns true if an elector has the country X is the preferred emperor.,Country (Elector),preferred_emperor = HAB
prestige,Integer,Return true if the country has aprestigeof at least X.,Country,prestige = 99
prestige,"Tag, Scope",Returns true if the country has at least as much prestige as the specified country.,Country,prestige = ADA
previous_owner,"Tag, Scope",Returns true if the previous owner of the province was X.,Province,previous_owner = HUN
primary_culture,"Identifier, Scope",Returns true if the country's primary culture is X.,Country,primary_culture = dutch
primitives,Boolean,Returns true if the country isprimitive.,Country,primitives = yes
privateer_power,Clause,Returns true if the country has at least X trade power fromprivateeringin the trade node.,Province(Trade node),"1744 = { #Antwerpen
        privateer_power = {
            country = FROM
            share = 25
        }
    }"
production_efficiency,Float,Returns true if the country has aproduction efficiencyof at least X.,Country,production_efficiency = 0.10
production_efficiency,"Tag, Scope",Returns true if the country has an at least as high production efficiency as the specified country.,Country,production_efficiency = AAC
production_income_percentage,Float,Returns true if the ratio of production income to total income is at least X.,Country,production_income_percentage = 0.10
production_leader,Clause,Returns true if the country is theproduction leaderof thetrade goodX.,Country,"production_leader = {
        trade_goods = coffee
    }"
province_distance,Clause,"Returns true, if the distance between specified provinces is at least X.",Province,"any_owned_province = {
        province_distance = {
            who = 151
            distance = 50
        }
    }"
province_getting_expelled_minority,Boolean,Returns true if the province is getting minorities.,Province,province_getting_minorities = yes
province_group,Identifier,Returns true if the province belongs to the specifiedprovince group.,Province,province_group = my_province_group
province_has_center_of_trade_of_level,Integer,Returns true if the province has a center of trade of at least this level.,Province,province_has_center_of_trade_of_level = 2
province_id,"Integer,Scope",Returns true if the province has the ID X.,Province,province_id = 1
province_is_on_an_island,Boolean,Returns true if the province ison an island.,Province,province_is_on_an_island = yes
province_size,Integer,"Returns true if the province, inprovinces.bmp, contains X pixels.",Province,province_size = 100
province_trade_power,Integer,Returns true iftrade powergenerated by the province is at least X.,Province,province_trade_power = 5
provinces_on_capital_continent_of,Scope,Returns true if the country has a province on the continent with the capital of the specified country.,Country,provinces_on_capital_continent_of = ROOT
pure_unrest,Integer,Returns true if the province has a baseunrestof at least X.,Province,pure_unrest = 2
range,"Tag, Scope",Returns true if the province is within the range of the specified country.,Province,range = TUR
real_day_of_year,Integer,"Returns true, if today is at least X (January 1st ≙ 0). Refers to the actual real day (probably takes system time).",Anywhere,Example needed
real_month_of_year,Integer,Returns true if the month of the year in reality is at least X (January ≙ 0),Anywhere,real_month_of_year = 6 # Mai
rebel_progress_at_least,Integer,Returns true if the specified rebel faction has at least X progress towards revolting. Will default to any faction if unspecified.,Country,"rebel_progress_at_least = {
        rebel_type = nationalist_rebels
        value = 50
    }"
receives_fleet_basing_rights_from,"Tag, Scope",Returns true if the scoped country receives fleet basing rights from the specified country.,Country,"owner = {
            receives_fleet_basing_rights_from = FRA
    }"
receives_military_access_from,"Tag, Scope",Returns true if the scoped country receives military access from the specified country.,Country,"owner = {
            receives_military_access_from = FRA
    }"
reform_desire,Float,Returns true if thereform desireis at least X%.,Anywhere,reform_desire = 0.95
reform_level,Identifier,Retrurn true if the country has reached at least X levels of government reforms.,Country,reform_level = 5
region,Identifier,Returns true if the province is part of theregionX.,Province,region = west_india_region
religion,"Identifier, Scope",Returns true if the country/province has religion X.,CountryProvince,religion = catholic
religion_group,"Identifier, Scope",Returns true if the country/province has a religion of the specifiedreligious group.,Countryprovince,religion_group = christian
religion_years,Clause,Returns true if the specified religion is enabled for at least X years.,Anywhere,religion_years = { confucianism = 100 }
religious_school,Clause,"Returns true, if the country has the specified religious school.",Country,"religious_school = {
        group = muslim
        school = hanbali_school
    }"
religious_unity,Float,Returns true if the country'sreligious unityis at least X.,Country,religious_unity = 0.99
republican_tradition,Integer,Returns true if country'srepublican traditionis at least X.,Country,republican_tradition = 90
revanchism,Integer,Returns true if country'srevanchismis at least X.,Country,revanchism = 10
reverse_has_opinion,Clause,Returns true if the country specified bywhohas at leastvalueopinion of the country.,Country,"reverse_has_opinion = {
        who = DAN
        value = 80
    }"
reverse_has_opinion_modifier,Clause,Returns true if the country specified bywhohas the opinion modifiermodifiertowards the country.Can also specify a value of the modifier (but it is not displayed).,Country,"reverse_has_opinion_modifier = {
        who = ROOT
        modifier = opinion_spurned_pu
    }"
revolt_percentage,Float,Returns true if at least the Xth part of the provinces of the country haverevolts.,Country,revolt_percentage = 0.1
revolution_target_exists,Boolean,Returns true if there is arevolutionary targetin the world.,Global,revolution_target_exists  = yes
ruler_age,Integer,Returns true if the country has arulerthat is at least X years old.,Country,ruler_age = 40
ruler_consort_marriage_length,Integer,Needs description,Country,ruler_consort_marriage_length = 10
ruler_culture,"Identifier, Scope","Returns true, if the country's ruler has the specified culture. Can utiliseEvent Scope Values.",Country,ruler_culture = prussian
ruler_has_personality,Identifier,Returns true if the country’srulerhas the specifiedpersonality.,Country,ruler_has_personality = malevolent_personality
ruler_is_foreigner,Boolean,Returns true if the country has foreignruler.,Country,ruler_is_foreigner = no
ruler_religion,"Identifier, Scope","Returns true, if the country's ruler has the specified religion. Can utiliseEvent Scope Values.",Country,ruler_religion = catholic
sailors,Integer,Returns true if the country has at least Xsailors.,Country,sailors = 2500
sailors_percentage,Float,Returns true if the country has asailorlevel of at least X%.,Country,sailors_percentage = 0.50
same_continent,"Integer, Scope","Returns true, if specified province is on the same continent as the province. If used in country scope, capitals are checked.","Country, Province","FRA = {
        same_continent = ROOT
    }all_owned_province = {
        same_continent = capital
    }"
same_home_trade_node_as,Scope,Returns true if the current country scope has the same home trade node as the specified country scope.,Country,same_home_trade_node_as = FRA
